id,title,author,rating,tags,volume,image,link
24,Портрет Дориана Грея,Оскар Уайльд,4.6,"['Литература 19 века', 'Мистика', '10 класс', 'Английская классика', 'Философская проза', 'Экранизации']",270,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/130224-oskar-uayld-portret-doriana-greya-130224.jpg,https://www.litres.ru/oskar-uayld/portret-doriana-greya-130224/
25,По ком звонит колокол,Эрнест Хемингуэй,4.5,"['Зарубежная классика', 'Литература 20 века', 'Американская классика', 'Жизненный выбор', 'Социальная проза', 'Судьба человека']",610,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/25254472-ernest-heminguey-po-kom-zvonit-kolokol-25254472.jpg,https://www.litres.ru/ernest-heminguey/po-kom-zvonit-kolokol-25254472/
26,Чайка Джонатан Ливингстон,Ричард Бах,4.7,"['Литература 20 века', 'Американская литература', 'Романы-притчи', 'Современная классика', 'Философская проза']",60,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/39848905-richard-bah-chayka-dzhonatan-livingston.jpg,https://www.litres.ru/richard-bah/chayka-dzhonatan-livingston/
27,К востоку от Эдема,Джон Стейнбек,4.8,"['Зарубежная классика', 'Классическая проза', 'Американская литература', 'Вечные истины', 'Семейная сага']",830,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/128071-dzhon-steynbek-k-vostoku-ot-edema.jpg,https://www.litres.ru/dzhon-steynbek/k-vostoku-ot-edema/
28,Кельтские мифы,Миранда Олдхаус-Грин,3.8,"['Культурология', 'Мифы / легенды / эпос', 'Древний мир', 'Иллюстрированное издание', 'Кельты']",260,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/50614958-miranda-oldhaus-grin-keltskie-mify.jpg,https://www.litres.ru/miranda-oldhaus-grin/keltskie-mify/
29,Крутой маршрут,Евгения Гинзбург,4.7,"['Биографии и мемуары', 'Литература 20 века', 'Автобиографическая проза', 'Портрет эпохи', 'Сталинские репрессии']",890,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/136555-evgeniya-ginzburg-krutoy-marshrut.jpg,https://www.litres.ru/evgeniya-ginzburg/krutoy-marshrut/
30,Один день мисс Петтигрю,Уинифред Уотсон,4.7,"['Литература 20 века', 'Юмористическая проза', 'Английская литература', 'Любовные интриги', 'Экранизации']",210,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/36972703-uinifred-uotson-odin-den-miss-pettigru.jpg,https://www.litres.ru/uinifred-uotson/odin-den-miss-pettigru/
31,Оттепель. События. Март 1953–август 1968 года,Сергей Чупринин,4.5,"['Критика', 'Литературоведение', 'Публицистика', 'Советская литература', 'Литературная критика']",1810,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/52196590-sergey-chuprinin-ottepel-sobytiya-mart-1953-avgust-1968-goda.jpg,https://www.litres.ru/sergey-chuprinin/ottepel-sobytiya-mart-1953-avgust-1968-goda/
32,Сандро из Чегема,Фазиль Искандер,4.6,"['Литература 20 века', '10 класс', 'Ироничная проза', 'Плутовской роман', 'Премия «Ясная Поляна»', 'Психологическая проза', 'Философская проза']",1720,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/9595700-fazil-iskander-sandro-iz-chegema.jpg,https://www.litres.ru/fazil-iskander/sandro-iz-chegema/
33,Тысяча и одна ночь,,3.6,"['Древневосточная литература', 'Зарубежная старинная литература', 'Зарубежные детские книги', 'Сказки']",3690,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/139295-eposy-legendy-i-skazaniya-tysyacha-i-odna-noch.jpg,https://www.litres.ru/eposy-legendy-i-skazaniya/tysyacha-i-odna-noch/
34,Повелитель мух,Уильям Голдинг,4.5,"['Зарубежная классика', 'Литература 20 века', 'Борьба за власть', 'Взросление', 'Жестокость', 'Робинзонада', 'Социальная проза', 'Философская проза']",190,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/119029-uilyam-golding-povelitel-muh-119029.jpg,https://www.litres.ru/uilyam-golding/povelitel-muh-119029/
