id,title,author,rating,tags,volume,image,link
959,Мертвое сердце,Анна Александровна Цой,4.3,"['Любовное фэнтези', 'Юмористическое фэнтези', 'Магическая школа', 'Самиздат', 'Становление героя', 'Темная любовь']",330,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_330/63462207-anna-aleksandrovna-coy-mertvoe-serdce.jpg,https://www.litres.ru/anna-aleksandrovna-coy/mertvoe-serdce/
960,Кровь и Золото,Олег Корсаров,0,"['Городское фэнтези', 'Детективное фэнтези', 'Магические способности', 'Самиздат', 'Тайные общества', '«Темный Властелин»', 'Частное расследование']",160,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63461281-oleg-korsarov-krov-i-zoloto.jpg,https://www.litres.ru/oleg-korsarov/krov-i-zoloto/
961,Девушка из «Кактуса»,Владимир Анин,0,"['Городское фэнтези', 'Романтика любви', 'Самиздат', 'Чудеса']",14,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63461233-vladimir-anin-26893836-devushka-iz-kaktusa.jpg,https://www.litres.ru/vladimir-anin-26893836/devushka-iz-kaktusa/
962,Магический спецназ,Денис Матусов,5.0,"['Боевая фантастика', 'Любовное фэнтези', 'Волшебные приключения', 'Первая любовь', 'Самиздат']",16,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63461197-denis-matusov-magicheskiy-specnaz.jpg,https://www.litres.ru/denis-matusov/magicheskiy-specnaz/
963,Тысяча улиток на одном велосипеде. Сборник рассказов,Юрий Л. Казаков,5.0,"['Городское фэнтези', 'Книги про волшебников', 'Вдохновение', 'Волшебство', 'Невероятные приключения', 'Самиздат', 'Сказочные истории']",180,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_330/63461187-uriy-l-kazakov-tysyacha-ulitok-na-odnom-velosipede-sbornik-rasskazov.jpg,https://www.litres.ru/uriy-l-kazakov/tysyacha-ulitok-na-odnom-velosipede-sbornik-rasskazov/
964,Десять тысяч дверей,Аликс Е. Харроу,4.2,"['Городское фэнтези', 'Зарубежное фэнтези', 'Невероятные приключения', 'Параллельные миры', 'Повороты судьбы', 'Порталы', 'Становление героя', 'Таинственные явления']",430,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63460923-aliks-e-harrou-desyat-tysyach-dverey.jpg,https://www.litres.ru/aliks-e-harrou/desyat-tysyach-dverey/
965,Девушка в красном,Кристина Генри,3.3,"['Зарубежное фэнтези', 'Мистика', 'Ужасы', 'Борьба за выживание', 'Классические сюжеты', 'Темное фэнтези', 'Хоррор']",260,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63460678-kristina-genri-devushka-v-krasnom.jpg,https://www.litres.ru/kristina-genri/devushka-v-krasnom/
966,Das TALI-Komplott,Frank Pfeifer,0,['Фанфик'],370,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63458340-frank-pfeifer-das-tali-komplott.jpg,https://www.litres.ru/frank-pfeifer/das-tali-komplott/
967,Мертвые голоса,Кэтрин Арден,1.0,"['Зарубежное фэнтези', 'Книги для подростков', 'Мистика', 'Ужасы', 'Загадочные события', 'Истории с привидениями', 'Кошмары', 'Мистические тайны', 'Приключенческое фэнтези']",190,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63457818-ketrin-arden-mertvye-golosa.jpg,https://www.litres.ru/ketrin-arden/mertvye-golosa/
968,World of Warcraft: Тралл. Сумерки Аспектов,Кристи Голден,3.5,"['Боевое фэнтези', 'Героическое фэнтези', 'Зарубежное фэнтези', 'Warcraft', 'Боевая магия', 'Книги по играм', 'Магические артефакты', 'Магические миры', 'Спасение мира', 'Эпическое фэнтези']",330,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63457631-kristi-golden-world-of-warcraft-trall-sumerki-aspektov.jpg,https://www.litres.ru/kristi-golden/world-of-warcraft-trall-sumerki-aspektov/
