id,title,author,rating,tags,volume,image,link
2917,Дом потерянных душЧЕР,Евгения Кретова,4.7,"['Остросюжетные любовные романы', 'Современные детективы', 'Триллеры', 'Женская остросюжетная проза', 'Женские детективы', 'Загадочные события', 'Смертельная опасность', 'Частное расследование', 'Черновик', 'Юмор']",страниц:,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212791-evgeniya-kretova-dom-poteryannyh-dush.jpg,https://www.litres.ru/evgeniya-kretova/dom-poteryannyh-dush/
2918,Calculated Risk,Heather Woodhaven,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212785-heather-woodhaven-26825630-calculated-risk.jpg,https://www.litres.ru/heather-woodhaven-26825630/calculated-risk/
2919,Undercurrent,Sara K. Parker,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212780-sara-k-parker-26828685-undercurrent.jpg,https://www.litres.ru/sara-k-parker-26828685/undercurrent/
2920,Perilous Refuge,Kathleen Tailer,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212775-kathleen-tailer-26823365-perilous-refuge.jpg,https://www.litres.ru/kathleen-tailer-26823365/perilous-refuge/
2921,Strength Under Fire,Dana Nussio,0,"['Короткие любовные романы', 'Мистика', 'Современная зарубежная литература', 'Триллеры', 'Эротические романы']",300,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212765-dana-nussio-26778695-strength-under-fire.jpg,https://www.litres.ru/dana-nussio-26778695/strength-under-fire/
2922,Plain Danger,Debby Giusti,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212750-debby-giusti-26822550-plain-danger.jpg,https://www.litres.ru/debby-giusti-26822550/plain-danger/
2923,Ransom,Terri Reed,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",200,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212745-terri-reed-26822045-ransom.jpg,https://www.litres.ru/terri-reed-26822045/ransom/
2924,Silent Night Pursuit,Katy Lee,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212740-katy-lee-26823375-silent-night-pursuit.jpg,https://www.litres.ru/katy-lee-26823375/silent-night-pursuit/
2925,Christmas Blackout,Maggie K. Black,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212735-maggie-k-black-christmas-blackout.jpg,https://www.litres.ru/maggie-k-black/christmas-blackout/
2926,Surviving The Storm,Heather Woodhaven,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",200,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212730-heather-woodhaven-26825630-surviving-the-storm.jpg,https://www.litres.ru/heather-woodhaven-26825630/surviving-the-storm/
2927,Smokescreen,Jodie Bailey,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212725-jodie-bailey-26824870-smokescreen.jpg,https://www.litres.ru/jodie-bailey-26824870/smokescreen/
2928,Headline: Murder,Maggie K. Black,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212720-maggie-k-black-headline-murder.jpg,https://www.litres.ru/maggie-k-black/headline-murder/
2929,Covert Justice,Lynn Huggins Blackburn,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212715-lynn-huggins-blackburn-26828045-covert-justice.jpg,https://www.litres.ru/lynn-huggins-blackburn-26828045/covert-justice/
2930,Permanent Vacancy,Katy Lee,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212705-katy-lee-26823375-permanent-vacancy.jpg,https://www.litres.ru/katy-lee-26823375/permanent-vacancy/
2931,Lethal Exposure,Elisabeth Rees,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",230,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212695-elisabeth-rees-26828710-lethal-exposure.jpg,https://www.litres.ru/elisabeth-rees-26828710/lethal-exposure/
2932,Fatal Freeze,Michelle Karl,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",230,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212690-michelle-karl-26825190-fatal-freeze.jpg,https://www.litres.ru/michelle-karl-26825190/fatal-freeze/
2933,Presumed Guilty,Dana R. Lynn,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",230,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212685-dana-r-lynn-26824260-presumed-guilty.jpg,https://www.litres.ru/dana-r-lynn-26824260/presumed-guilty/
2934,Broken Silence,Annslee Urban,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",230,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212680-annslee-urban-26830750-broken-silence.jpg,https://www.litres.ru/annslee-urban-26830750/broken-silence/
2935,Manhunt,Lisa Phillips,0,"['Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212675-lisa-phillips-26824460-manhunt.jpg,https://www.litres.ru/lisa-phillips-26824460/manhunt/
2936,Star Witness,Lisa Phillips,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212665-lisa-phillips-26824460-star-witness.jpg,https://www.litres.ru/lisa-phillips-26824460/star-witness/
2937,Smoky Mountain Investigation,Annslee Urban,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212650-annslee-urban-26830750-smoky-mountain-investigation.jpg,https://www.litres.ru/annslee-urban-26830750/smoky-mountain-investigation/
2938,Secret Agent Under Fire,Geri Krotow,0,"['Короткие любовные романы', 'Триллеры']",280,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212645-geri-krotow-23620595-secret-agent-under-fire.jpg,https://www.litres.ru/geri-krotow-23620595/secret-agent-under-fire/
2939,Caught In The Crosshairs,Elisabeth Rees,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212640-elisabeth-rees-26828710-caught-in-the-crosshairs.jpg,https://www.litres.ru/elisabeth-rees-26828710/caught-in-the-crosshairs/
2940,Treasure Point Secrets,Sarah Varland,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212625-sarah-varland-26825040-treasure-point-secrets.jpg,https://www.litres.ru/sarah-varland-26825040/treasure-point-secrets/
2941,Double Agent,Lisa Phillips,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",200,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212620-lisa-phillips-26824460-double-agent.jpg,https://www.litres.ru/lisa-phillips-26824460/double-agent/
2942,Fatal Reunion,Jessica R. Patch,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",230,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212615-jessica-r-patch-26824475-fatal-reunion.jpg,https://www.litres.ru/jessica-r-patch-26824475/fatal-reunion/
2943,Foul Play,Elisabeth Rees,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212590-elisabeth-rees-26828710-foul-play.jpg,https://www.litres.ru/elisabeth-rees-26828710/foul-play/
2944,Compromised Identity,Jodie Bailey,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",220,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212585-jodie-bailey-26824870-compromised-identity.jpg,https://www.litres.ru/jodie-bailey-26824870/compromised-identity/
2945,Small Town Justice,Valerie Hansen,0,"['Зарубежные любовные романы', 'Короткие любовные романы', 'Современные религиозные течения', 'Триллеры']",210,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212570-valerie-hansen-small-town-justice-63212570.jpg,https://www.litres.ru/valerie-hansen/small-town-justice-63212570/
2946,Protecting The Boss,Beverly Long,0,"['Зарубежные детективы', 'Короткие любовные романы', 'Мистика', 'Современная зарубежная литература', 'Триллеры']",260,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212555-beverly-long-26824160-protecting-the-boss.jpg,https://www.litres.ru/beverly-long-26824160/protecting-the-boss/
2947,A Soldier's Honour,Regan Black,0,"['Зарубежная фантастика', 'Зарубежные детективы', 'Короткие любовные романы', 'Современная зарубежная литература', 'Триллеры']",260,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/63212530-regan-black-a-soldier-s-honour-63212530.jpg,https://www.litres.ru/regan-black/a-soldier-s-honour-63212530/
