id,title,author,rating,tags,volume,image,link
0,Дж. Д. Сэлинджер,Дж. Д. Сэлинджер,4.0,"['Зарубежная классика', 'Литература 20 века', 'Авторский сборник', 'Американская классика', 'Мировой бестселлер', 'Психологическая проза']",800,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/62789635-dzherom-devid-selindzher-48197-dzh-d-selindzher.jpg,https://www.litres.ru/dzherom-devid-selindzher-48197/dzh-d-selindzher/
1,Mój Michael,Амос Оз,0,"['Зарубежная классика', 'Современная зарубежная литература']",,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/62788115-amos-oz-moj-michael.jpg,https://www.litres.ru/amos-oz/moj-michael/
2,Dwa oblicza,Dorota Rośczak-Urbaniak,0,"['Зарубежная классика', 'Контркультура', 'Современная зарубежная литература']",,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/62784505-dorota-rosczak-urbaniak-dwa-oblicza.jpg,https://www.litres.ru/dorota-rosczak-urbaniak/dwa-oblicza/
3,Cyrkówka Marianna. Powojenna Polska i historia miłosna,Anna Fryczkowska,0,"['Зарубежная классика', 'Контркультура', 'Современная зарубежная литература']",,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/62784340-anna-fryczkowska-cyrkowka-marianna.jpg,https://www.litres.ru/anna-fryczkowska/cyrkowka-marianna/
4,Стихотворения,Александр Блок,5.0,"['Русская классика', 'Русская поэзия', 'Стихи и поэзия', 'Классическая поэзия', 'Лирическая поэзия', 'Символизм', 'Философская поэзия']",110,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/62780728-aleksandr-blok-stihotvoreniya-62780728.jpg,https://www.litres.ru/aleksandr-blok/stihotvoreniya-62780728/
5,Отцы и дети. Ася. Повести. Рассказы,Иван Тургенев,5.0,"['Русская классика', 'Истории о любви', 'Конфликт поколений', 'Мистическая проза', 'Психологическая проза', 'Социальная проза', 'Философская проза']",690,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/62780713-ivan-turgenev-otcy-i-deti-asya-povesti-rasskazy.jpg,https://www.litres.ru/ivan-turgenev/otcy-i-deti-asya-povesti-rasskazy/
6,"Было все, будет все. Мемуарные и нравственно-философские произведения",Андрей Ренников,0,"['Литература 20 века', 'Житейские истории', 'Ироничная проза', 'Мемуарная проза', 'Сборник рассказов', 'Социальная сатира']",890,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/62777647-a-m-rennikov-bylo-vse-budet-vse-memuarnye-i-nravstvenno-filosofskie-proizv.jpg,https://www.litres.ru/a-m-rennikov/bylo-vse-budet-vse-memuarnye-i-nravstvenno-filosofskie-proizv/
7,"Kocham cię, Lilith",Radek Rak,0,"['Зарубежная классика', 'Современная зарубежная литература']",,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/62777240-radek-rak-kocham-cie-lilith-62777240.jpg,https://www.litres.ru/radek-rak/kocham-cie-lilith-62777240/
8,"LeXuS: Don, Operatorzy - Dystopia erotyczna",Virginie Bégaudeau,0,"['Зарубежная классика', 'Эротические романы']",,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/62773910-virginie-begaudeau-lexus-don-operatorzy-dystopia-erotyczna.jpg,https://www.litres.ru/virginie-begaudeau/lexus-don-operatorzy-dystopia-erotyczna/
9,Hrabina Olesia,Maciej Roman Wierzbiński,0,['Зарубежная классика'],,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/62773900-maciej-roman-wierzbinski-hrabina-olesia.jpg,https://www.litres.ru/maciej-roman-wierzbinski/hrabina-olesia/
10,Golfsztrom,Wacław Niezabitowski,0,['Зарубежная классика'],,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/62773895-waclaw-niezabitowski-golfsztrom.jpg,https://www.litres.ru/waclaw-niezabitowski/golfsztrom/
11,Bies i skarbonka,Maciej Roman Wierzbiński,0,['Зарубежная классика'],,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/62773870-maciej-roman-wierzbinski-bies-i-skarbonka.jpg,https://www.litres.ru/maciej-roman-wierzbinski/bies-i-skarbonka/
12,"LeXuS: Ild i Legassov, Partnerzy - Dystopia erotyczna",Virginie Bégaudeau,0,"['Зарубежная классика', 'Эротические романы']",,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/62773745-virginie-begaudeau-lexus-ild-i-legassov-partnerzy-dystopia-erotyczna.jpg,https://www.litres.ru/virginie-begaudeau/lexus-ild-i-legassov-partnerzy-dystopia-erotyczna/
13,"Oma, wer bringt die Geschenke an Weihnachten?",Ursula Leitl,0,['Зарубежная классика'],14,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/62772850-ursula-leitl-oma-wer-bringt-die-geschenke-an-weihnachten.jpg,https://www.litres.ru/ursula-leitl/oma-wer-bringt-die-geschenke-an-weihnachten/
14,Les Corona lapins,Ursula Leitl,0,['Зарубежная классика'],15,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/62768655-ursula-leitl-les-corona-lapins.jpg,https://www.litres.ru/ursula-leitl/les-corona-lapins/
15,Dreizehn Band 1-3: Das Tagebuch / Die Anstalt / Das Spiegelbild,Carl Wilckens,0,['Зарубежная классика'],1090,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/62739765-carl-wilckens-dreizehn-band-1-3-das-tagebuch-die-anstalt-das-spiegelbild.jpg,https://www.litres.ru/carl-wilckens/dreizehn-band-1-3-das-tagebuch-die-anstalt-das-spiegelbild/
16,Законы,Платон,5.0,"['Античная литература', 'Книги по философии', 'Античная философия', 'Великие философы', 'Древняя Греция']",680,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/62719560-platon-zakony-62719560.jpg,https://www.litres.ru/platon/zakony-62719560/
17,Anna In w grobowcach świata,Ольга Токарчук,0,['Зарубежная классика'],,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/62712620-olga-tokarczuk-anna-in-w-grobowcach-swiata-62712620.jpg,https://www.litres.ru/olga-tokarczuk/anna-in-w-grobowcach-swiata-62712620/
18,Ostatnie historie,Ольга Токарчук,0,['Зарубежная классика'],,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/62712315-olga-tokarczuk-ostatnie-historie-62712315.jpg,https://www.litres.ru/olga-tokarczuk/ostatnie-historie-62712315/
19,Росхальде,Герман Гессе,5.0,"['Зарубежная классика', 'Классическая проза', 'Духовные поиски', 'Жизненные ценности', 'Судьба человека']",160,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/62706807-german-gesse-roshalde-62706807.jpg,https://www.litres.ru/german-gesse/roshalde-62706807/
20,Маленькі жінки. Частина 1,Луиза Мэй Олкотт,0,"['Зарубежная классика', 'Литература 19 века', 'Американская классика', 'Взросление', 'Женские судьбы', 'Первая любовь', 'Романтические отношения', 'Семейные истории', 'Экранизации']",350,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/62705366-luiza-mey-olkott-malenki-zhinki-chastina-1.jpg,https://www.litres.ru/luiza-mey-olkott/malenki-zhinki-chastina-1/
21,Кобзар. Вибрані твори,Тарас Шевченко,0,"['Зарубежная классика', 'Стихи и поэзия', 'Иллюстрированное издание', 'Украинская поэзия']",190,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/62705046-taras-shevchenko-kobzar-vibrani-tvori.jpg,https://www.litres.ru/taras-shevchenko/kobzar-vibrani-tvori/
22,Zielone notatniki,Leopold Tyrmand,0,"['Биографии и мемуары', 'Классическая проза', 'Авантюрные приключения', 'Воспоминания', 'Польская литература', 'Проза жизни']",,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/62702155-leopold-tyrmand-18277536-zielone-notatniki.jpg,https://www.litres.ru/leopold-tyrmand-18277536/zielone-notatniki/
23,Guz,Piotr Marczyński,0,"['Зарубежная классика', 'Контркультура', 'Современная зарубежная литература']",,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/62696950-piotr-marczynski-guz.jpg,https://www.litres.ru/piotr-marczynski/guz/
24,Наказание и преступление,Дмитрий Леонидович Охотин,5.0,"['Классическая проза', 'Современные детективы', 'Детективные истории', 'Самиздат', 'Трагедия семьи']",14,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_330/62683456-dmitriy-leonidovich-ohotin-nakazanie-i-prestuplenie.jpg,https://www.litres.ru/dmitriy-leonidovich-ohotin/nakazanie-i-prestuplenie/
25,Повесть о двух городах,Чарльз Диккенс,5.0,"['Зарубежная классика', 'Литература 19 века', 'Английская классика', 'Время и судьбы', 'Психологическая проза', 'Социальная проза', 'Французская революция']",510,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/62649591-charlz-dikkens-povest-o-dvuh-gorodah-62649591.jpg,https://www.litres.ru/charlz-dikkens/povest-o-dvuh-gorodah-62649591/
26,Державный плотник,Даниил Мордовцев,0,"['Историческая литература', 'Русская классика', 'Исторические романы', 'Петр Первый', 'Петровская Русь', 'Русские императоры', 'Русский флот']",410,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/62646732-daniil-mordovcev-derzhavnyy-plotnik-62646732.jpg,https://www.litres.ru/daniil-mordovcev/derzhavnyy-plotnik-62646732/
27,"Казки, легенди, притчі",Герман Гессе,0,"['Зарубежная классика', 'Литература 20 века', 'Духовные поиски', 'Интеллектуальная проза', 'Магический реализм', 'Немецкая литература', 'Философские притчи']",340,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/62640686-german-gesse-kazki-legendi-pritchi.jpg,https://www.litres.ru/german-gesse/kazki-legendi-pritchi/
28,Степовий вовк,Герман Гессе,5.0,"['Зарубежная классика', 'Литература 20 века', 'Духовные поиски', 'Интеллектуальная проза', 'Магический реализм', 'Немецкая литература', 'Философские притчи']",260,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/62639877-german-gesse-stepoviy-vovk-62639877.jpg,https://www.litres.ru/german-gesse/stepoviy-vovk-62639877/
29,Золотая роза. Заметки о писательском труде,К. Г. Паустовский,5.0,"['Литература 20 века', 'Советская литература', 'Писательское мастерство', 'Проза жизни', 'Психология творчества', 'Советская классика', 'Советская эпоха']",210,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/62637732-konstantin-paustovskiy-zolotaya-roza-zametki-o-pisatelskom-trude.jpg,https://www.litres.ru/konstantin-paustovskiy/zolotaya-roza-zametki-o-pisatelskom-trude/
30,Професор Вільчур,Тадеуш Доленга-Мостович,0,"['Зарубежная классика', 'Литература 20 века', 'Врачебная практика', 'Польская литература']",410,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/62616886-tadeush-dolenga-mostovich-profesor-vilchur.jpg,https://www.litres.ru/tadeush-dolenga-mostovich/profesor-vilchur/
31,Подорожі Лікаря Дуліттлa. На острові,Хью Лофтинг,0,"['Литература 20 века', 'Сказки', 'Детская классика', 'Невероятные приключения', 'Семейное чтение', 'Сказочные повести']",80,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/62614583-hugh-lofting-15728279-podorozhi-likarya-dulittla-na-ostrovi.jpg,https://www.litres.ru/hugh-lofting-15728279/podorozhi-likarya-dulittla-na-ostrovi/
32,Подорожі Лікаря Дуліттлa. Запалення вогню,Хью Лофтинг,0,"['Литература 20 века', 'Сказки', 'Детская классика', 'Невероятные приключения', 'Семейное чтение', 'Сказочные повести']",80,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/62607033-hugh-lofting-15728279-podorozhi-likarya-dulittla-zapalennya-vognu.jpg,https://www.litres.ru/hugh-lofting-15728279/podorozhi-likarya-dulittla-zapalennya-vognu/
33,Огненный ангел,Валерий Брюсов,0,"['Литература 20 века', 'Русская классика', 'Исторические романы', 'Символизм']",400,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/62275241-valeriy-brusov-ognennyy-angel-62275241.jpg,https://www.litres.ru/valeriy-brusov/ognennyy-angel-62275241/
34,До зірок,Фрэнсис Скотт Фицджеральд,0,"['Литература 20 века', 'Автобиографическая проза', 'Американская литература']",210,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/62201473-frensis-skott-ficdzherald-do-zirok.jpg,https://www.litres.ru/frensis-skott-ficdzherald/do-zirok/
35,Маленькі чоловіки,Луиза Мэй Олкотт,0,"['Детская проза', 'Литература 19 века', 'Американская литература', 'Американська література', 'Взросление', 'Детская дружба', 'Книги о детстве', 'Семейная сага']",320,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/62108198-luiza-mey-olkott-malenki-choloviki.jpg,https://www.litres.ru/luiza-mey-olkott/malenki-choloviki/
36,Дао де цзин,Лао-цзы,0,"['Даосизм / конфуцианство', 'Древневосточная литература', 'Саморазвитие / личностный рост', 'Восточная философия', 'Древнекитайская философия']",27,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/62089668-lao-czy-dao-de-czin-62089668.jpg,https://www.litres.ru/lao-czy/dao-de-czin-62089668/
37,Сборник малой прозы,Иван Бунин,0,"['Литература 20 века', 'Русская классика']",8,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/62080886-ivan-bunin-sbornik-maloy-prozy.jpg,https://www.litres.ru/ivan-bunin/sbornik-maloy-prozy/
