id,title,author,rating,tags,volume,image,link
1388,Меланхолия,Анастасия Юрьевна Тарусина,0,"['Стихи и поэзия', 'Поэзия XXI века', 'Самиздат']",10,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_330/61228866-anastasiya-urevna-tarusina-melanholiya.jpg,https://www.litres.ru/anastasiya-urevna-tarusina/melanholiya/
1389,Рифмованные мысли. Часть 2,Владимир Александрович Елин,5.0,"['Современная русская литература', 'Стихи и поэзия', 'Юмористическая проза', 'Мастера современной прозы', 'Самиздат', 'Современная русская поэзия', 'Современный мир', 'Стихи о жизни']",60,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/61222646-vladimir-aleksandrovich-elin-rifmovannye-mysli-chast-2.jpg,https://www.litres.ru/vladimir-aleksandrovich-elin/rifmovannye-mysli-chast-2/
1390,Небесный престол,Павел Борисович Федоров,0,"['Стихи и поэзия', 'Высокие чувства', 'Поэзия XXI века', 'Романтическая любовь', 'Самиздат', 'Философско-культурные размышления']",50,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/61220882-pavel-borisovich-fedorov-nebesnyy-prestol.jpg,https://www.litres.ru/pavel-borisovich-fedorov/nebesnyy-prestol/
1391,Цветы строчек,Елена Лесная-Лыжина,0,"['Стихи и поэзия', 'Авторский сборник', 'Женская лирика', 'Поэтическая библиотека', 'Современная русская поэзия']",370,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/61214907-elena-lesnaya-lyzhina-cvety-strochek.jpg,https://www.litres.ru/elena-lesnaya-lyzhina/cvety-strochek/
1392,Awanturnik. Czarcia Góra,Эжен Сю,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/61202855-ezhen-su-awanturnik-czarcia-gora.jpg,https://www.litres.ru/ezhen-su/awanturnik-czarcia-gora/
1393,Słoń Birara,Antoni Ferdynand Ossendowski,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/61202745-antoni-ferdynand-ossendowski-slon-birara.jpg,https://www.litres.ru/antoni-ferdynand-ossendowski/slon-birara/
1394,"Ballady, legendy czeskie...",Antologia,0,"['Зарубежная поэзия', 'Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Лирика', 'Проза жизни', 'Экранизации']",,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/61201900-antologia-ballady-legendy-czeskie.jpg,https://www.litres.ru/antologia/ballady-legendy-czeskie/
1395,Śmierć urzędnika i inne opowiadania,Антон Чехов,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/61201595-anton-chehov-smierc-urzednika-i-inne-opowiadania-61201595.jpg,https://www.litres.ru/anton-chehov/smierc-urzednika-i-inne-opowiadania-61201595/
1396,Raj utracony,Джон Мильтон,0,"['Зарубежная поэзия', 'Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Лирика', 'Проза жизни', 'Экранизации']",,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/61201015-dzhon-milton-raj-utracony.jpg,https://www.litres.ru/dzhon-milton/raj-utracony/
1397,Trębacz cesarski. Powieść z roku 1830-31,Antoni Ferdynand Ossendowski,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/61200720-antoni-ferdynand-ossendowski-trebacz-cesarski-powiesc-z-roku-1830-31.jpg,https://www.litres.ru/antoni-ferdynand-ossendowski/trebacz-cesarski-powiesc-z-roku-1830-31/
1398,Biernata z Lublina Ezop,Ignacy Chrzanowski,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/61200650-ignacy-chrzanowski-biernata-z-lublina-ezop.jpg,https://www.litres.ru/ignacy-chrzanowski/biernata-z-lublina-ezop/
1399,Zwodne światło. The Light That Failed,Rudyard Kipling,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/61200555-redyard-kipling-zwodne-swiatlo-the-light-that-failed.jpg,https://www.litres.ru/redyard-kipling/zwodne-swiatlo-the-light-that-failed/
1400,Złote rymy,Pitagoras,0,"['Легкая проза', 'Стихи и поэзия', 'Авантюрные приключения', 'Проза жизни', 'Экранизации']",,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/61199670-pitagoras-zlote-rymy.jpg,https://www.litres.ru/pitagoras/zlote-rymy/
